  350 0.565 1.000 0.565
  351 0.568 1.000 0.568
  352 0.572 1.000 0.572
  353 0.575 1.000 0.575
  354 0.578 1.000 0.578
  355 0.581 1.000 0.581
  356 0.584 1.000 0.584
  357 0.587 1.000 0.587
  358 0.590 1.000 0.590
  359 0.593 1.000 0.593
  360 0.596 1.000 0.596
  361 0.600 1.000 0.600
  362 0.603 1.000 0.603
  363 0.606 1.000 0.606
  364 0.610 1.000 0.610
  365 0.613 1.000 0.613
  366 0.616 1.000 0.616
  367 0.619 1.000 0.619
  368 0.623 1.000 0.623
  369 0.626 1.000 0.626
  370 0.629 1.000 0.629
  371 0.632 1.000 0.632
  372 0.636 1.000 0.636
  373 0.639 1.000 0.639
  374 0.642 1.000 0.642
  375 0.645 1.000 0.645
  376 0.648 1.000 0.648
  377 0.651 1.000 0.651
  378 0.654 1.000 0.654
  379 0.657 1.000 0.657
  380 0.660 1.000 0.660
  381 0.663 1.000 0.663
  382 0.666 1.000 0.666
  383 0.668 1.000 0.668
  384 0.671 1.000 0.671
  385 0.673 1.000 0.673
  386 0.676 1.000 0.676
  387 0.678 1.000 0.678
  388 0.681 1.000 0.681
  389 0.683 1.000 0.683
  390 0.685 1.000 0.685
  391 0.687 1.000 0.687
  392 0.688 1.000 0.688
  393 0.690 1.000 0.690
  394 0.691 1.000 0.691
  395 0.693 1.000 0.693
  396 0.694 1.000 0.694
  397 0.695 1.000 0.695
  398 0.697 1.000 0.697
  399 0.698 1.000 0.698
  400 0.700 1.000 0.700
  401 0.701 1.000 0.701
  402 0.703 1.000 0.703
  403 0.705 1.000 0.705
  404 0.706 1.000 0.706
  405 0.708 1.000 0.708
  406 0.710 1.000 0.710
  407 0.712 1.000 0.712
  408 0.714 1.000 0.714
  409 0.716 1.000 0.716
  410 0.718 1.000 0.718
  411 0.720 1.000 0.720
  412 0.722 1.000 0.722
  413 0.724 1.000 0.724
  414 0.726 1.000 0.726
  415 0.728 1.000 0.728
  416 0.730 1.000 0.730
  417 0.732 1.000 0.732
  418 0.734 1.000 0.734
  419 0.737 1.000 0.737
  420 0.739 1.000 0.739
  421 0.741 1.000 0.741
  422 0.743 1.000 0.743
  423 0.745 1.000 0.745
  424 0.747 1.000 0.747
  425 0.749 1.000 0.749
  426 0.751 1.000 0.751
  427 0.753 1.000 0.753
  428 0.754 1.000 0.754
  429 0.756 1.000 0.756
  430 0.758 1.000 0.758
  431 0.759 1.000 0.759
  432 0.761 1.000 0.761
  433 0.762 1.000 0.762
  434 0.764 1.000 0.764
  435 0.765 1.000 0.765
  436 0.766 1.000 0.766
  437 0.768 1.000 0.768
  438 0.769 1.000 0.769
  439 0.770 1.000 0.770
  440 0.771 1.000 0.771
  441 0.773 1.000 0.773
  442 0.774 1.000 0.774
  443 0.775 1.000 0.775
  444 0.777 1.000 0.777
  445 0.778 1.000 0.778
  446 0.779 1.000 0.779
  447 0.781 1.000 0.781
  448 0.782 1.000 0.782
  449 0.784 1.000 0.784
  450 0.785 1.000 0.785
  451 0.786 1.000 0.786
  452 0.788 1.000 0.788
  453 0.789 1.000 0.789
  454 0.790 1.000 0.790
  455 0.792 1.000 0.792
  456 0.793 1.000 0.793
  457 0.794 1.000 0.794
  458 0.796 1.000 0.796
  459 0.797 1.000 0.797
  460 0.798 1.000 0.798
  461 0.799 1.000 0.799
  462 0.800 1.000 0.800
  463 0.801 1.000 0.801
  464 0.802 1.000 0.802
  465 0.803 1.000 0.803
  466 0.804 1.000 0.804
  467 0.805 1.000 0.805
  468 0.806 1.000 0.806
  469 0.807 1.000 0.807
  470 0.808 1.000 0.808
  471 0.809 1.000 0.809
  472 0.810 1.000 0.810
  473 0.811 1.000 0.811
  474 0.812 1.000 0.812
  475 0.813 1.000 0.813
  476 0.814 1.000 0.814
  477 0.815 1.000 0.815
  478 0.816 1.000 0.816
  479 0.817 1.000 0.817
  480 0.818 1.000 0.818
  481 0.819 1.000 0.819
  482 0.820 1.000 0.820
  483 0.821 1.000 0.821
  484 0.822 1.000 0.822
  485 0.823 1.000 0.823
  486 0.824 1.000 0.824
  487 0.826 1.000 0.826
  488 0.827 1.000 0.827
  489 0.828 1.000 0.828
  490 0.829 1.000 0.829
  491 0.830 1.000 0.830
  492 0.831 1.000 0.831
  493 0.832 1.000 0.832
  494 0.833 1.000 0.833
  495 0.834 1.000 0.834
  496 0.835 1.000 0.835
  497 0.836 1.000 0.836
  498 0.838 1.000 0.838
  499 0.839 1.000 0.839
  500 0.839 1.000 0.839
  501 0.840 1.000 0.840
  502 0.841 1.000 0.841
  503 0.842 1.000 0.842
  504 0.842 1.000 0.842
  505 0.843 1.000 0.843
  506 0.843 1.000 0.843
  507 0.844 1.000 0.844
  508 0.845 1.000 0.845
  509 0.845 1.000 0.845
  510 0.846 1.000 0.846
  511 0.846 1.000 0.846
  512 0.847 1.000 0.847
  513 0.847 1.000 0.847
  514 0.848 1.000 0.848
  515 0.848 1.000 0.848
  516 0.849 1.000 0.849
  517 0.849 1.000 0.849
  518 0.850 1.000 0.850
  519 0.851 1.000 0.851
  520 0.851 1.000 0.851
  521 0.852 1.000 0.852
  522 0.852 1.000 0.852
  523 0.853 1.000 0.853
  524 0.854 1.000 0.854
  525 0.855 1.000 0.855
  526 0.855 1.000 0.855
  527 0.856 1.000 0.856
  528 0.857 1.000 0.857
  529 0.857 1.000 0.857
  530 0.858 1.000 0.858
  531 0.859 1.000 0.859
  532 0.860 1.000 0.860
  533 0.861 1.000 0.861
  534 0.861 1.000 0.861
  535 0.862 1.000 0.862
  536 0.863 1.000 0.863
  537 0.864 1.000 0.864
  538 0.865 1.000 0.865
